Particpant,Age,Gender,Condition,5,7,3,6,4,3,5,7,4,6,4,6,3,5,7,S.5,S.7,S.3,S.6,S.4,S.3,S.5,S.7,S.4,S.6,S.4,S.6,S.3,S.5,S.7,Notes
7/17/2021-01,4.75,M,Some-First,some,many,some,some,some,some,some,many,some,some,some,some,some,some,skipped,some,many,some,many,some,some,some,many,many,some,some,some,some,some,many,
7/18/2021-01,4.58,M,Some-First,some,some,some,other,some,some,some,many,some,other,some,other,some,other,other,some,some,some,other,skipped,some,some,many,some,some,some,some,some,some,other,a couple skipped due to technical difficulties
7/19/2021-01,4.58,M,Some-First,some,many,some,many,some,some,some,many,some,some,some,some,some,some,many,some,many,some,many,some,some,some,some,some,many,some,some,some,some,many,
7/21/2021-01,4.16,F,Some-First,some,many,some,many,other,some,some,many,some,some,some,some,some,some,skipped,some,some,some,some,some,some,some,many,some,some,some,some,some,some,many,a couple skipped because the child asked to move on to the next section
8/2/2021-01,4.7,F,Some-First,some,some,many,many,many,inaudible,inaudible,other,other,some,some,some,many,some,many,some,some,many,some,many,some,many,many,many,many,many,many,many,many,many,
8/2/2021-02,5.87,M,Some-First,some,many,some,some,some,some,some,many,some,many,some,some,some,some,many,some,many,some,many,some,some,many,many,some,many,some,many,some,many,many,
8/2/2021-05,5.5,M,Some-First,some,some,some,some,many,many,some,many,some,many,many,some,many,some,many,many,some,many,some,many,some,some,some,many,many,many,some,some,many,many,
8/6/2021-01,4.4,F,Some-First,many,many,some,many,some,skipped,skipped,many,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some,many,some,many,some,skipped,skipped,many,skipped,skipped,skipped,skipped,skipped,skipped,skipped,child said it was boring and wanted to skip a lot
8/6/2021-03,5.5,M,Some-First,many,many,some,some,some,some,some,many,some,many,other,many,some,some,many,some,many,some,many,some,some,some,many,some,many,many,some,some,some,many,
8/7/2021-01,4.39,F,Some-First,some,many,some,some,some,some,many,other- a lot,many,some,some,many,many,many,many,some,many,some,many,some,some,many,many,many,some,many,some,many,some,many,
8/7/2021-03,5.6,M,Some-First,some,many,some,some,some,some,some,many,some,many,some,skipped,some,some,many,some,many,some,some,some,skipped,some,many,some,many,some,many,some,some,many,
8/10/2021-01,4.91,F,Some-First,some,some,some,many,some,some,some,some,some,many,some,many,other- a little,many,some,other- not much,many,some,many,some,some,some,many,some,some,some,some,some,some,many,
8/10/2021-03,5.01,M,Some-First,some,many,some,many,some,some,many,many,some,many,some,some,some,some,many,some,many,some,many,some,some,some,many,some,many,some,many,some,some,many,
8/10/2021-05,4.79,M,Some-First,some,many,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,
8/12/2021-02,5.09,M,Some-First,some,many,some,some,some,some,other- the same,many,some,many,some,many,some,some,many,some,many,some,many,some,some,some,many,some,many,some,some,some,some,many,
8/16/2021-01,5.84,F,Some-First,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,skipped,skipped,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some skipped because child was bored
8/22/2021-03,5.72,M,Some-First,some,many,some,many,some,some,other,many,some,other- a lot,some,many,some,other,many,other,many,some,many,many,some,some,many,some,many,some,many,some,some,many,
8/25/21-01,4,F,Some-First,some,some,some,many,some,some,some,many,many,many,some,inaudible,some,some,some,many,inaudible,many,inaudible,inaudible,some,some,inaudible,some,many,many,inaudible,some,some,other- a lot,child had articulation issues
8/27/21-01,5.18,F,Some-First,some,many,some,some,some,some,some,many,some,some,skipped,skipped,skipped,skipped,skipped,some,many,some,many,some,some,some,many,some,many,skipped,skipped,skipped,skipped,skipped,some skipped because child was bored
8/27/21-02,4,M,Some-First,many,some,many,some,some,some,some,many,many,some,skipped,skipped,skipped,skipped,skipped,many,some,many,some,many,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some skipped because child was bored
11/12/21-01,4.75,F,Some-First,some,many,some,some,some,some,some,many,some,many,some,some,some,many,some,some,many,some,some,some,some,other ,many,other,other,some,many,some,other,other,
11/16/21-01,4.83,M,Some-First,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,many,some,some,some,some,many,
12/3/21-01,4.83,M,Some-First,some,other,many,some,many,some,many,some,many,some,some,some,some,many,many,some,many,many,some,some,some,many,some,some,many,some,some,some,some,many,
12/3/21-02,4.5,M,Some-First,some,many,some,some,some,some,some,other,many,many,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,some,
12/4/21-01,4.25,O,Some-First,some,some,some,many,some,many,many,many,some,some,some,some,some,many,many,many,many,some,some,some,some,many,many,many,many,some,many,some,many,many,
8/2/2021-04,5.95,M,Many-First,inaudible,many,inaudible,many,some,some,many,many,other,many,other,many,other,many,many,many,inaudible,other,many,inaudible,inaudible,many,many,other,many,other,many,other,many,many,this boy had a speech impediment which made him very difficult to understand
8/2/2021-06,4.3,M,Many-First,many,many,some,many,some,some,some,many,some,inaudible,some,some,some,some,many,some,some,some,many,some,some,some,many,some,some,some,some,some,some,many,
8/6/2021-02,4.48,M,Many-First,many,many,some,many,some,some,many,some,many,some,many,some,some,some,many,many,many,some,many,some,some,many,other,many,some,many,many,some,some,many,
8/6/2021-04,5.58,F,Many-First,some,many,some,many,many,some,many,many,some,some,other,many,some,many,some,some,many,some,many,some,some,some,some,other,some,skipped,many,skipped,many,many,child was very distracted for last block/walking away and playing with the computer
8/7/2021-02,4.6,F,Many-First,some,many,some,many,some,some,some,many,some,many,some,some,some,some,many,some,some,some,many,some,some,some,many,some,some,some,many,some,some,many,
8/8/2021-01,4.9,F,Many-First,some,many,some,other- a lot,many,many,many,other- a lot,many,many,many,some,some,some,many,many,many,some,many,many,some,many,some,many,some,many,other- all,some,many,many,
8/10/2021-02,5.77,F,Many-First,some,many,some,many,some,some,some,many,some,many,some,some,some,some,many,some,many,some,many,some,some,some,many,some,many,some,some,some,some,many,
8/10/2021-04,4.11,F,Many-First,some,inaudible,some,some,some,some,many,many,some,some,some,some,some,some,some,many,some,some,some,some,some,many,some,some,some,some,some,some,some,some,
8/12/2021-01,4.9,F,Many-First,many,many,some,many,many,some,many,many,many,many,some,many,some,many,many,some,many,some,many,some,some,some,many,some,many,some,many,some,many,many,
8/12/2021-03,5.15,M,Many-First,some,many,some,many,some,some,many,many,some,some,some,many,some,many,many,some,many,some,many,some,some,other ,many,many,some,some,some,some,some,many,
8/19/2021-01,5.92,F,Many-First,some,many,some,many,some,some,some,many,some,many,some,many,some,some,many,some,many,some,many,some,some,some,many,some,many,some,many,some,some,many,
8/19/2021-02,4.87,M,Many-First,many,many,some,many,some,some,many,many,some,many,some,many,some,many,many,many,many,many,many,some,some,many,many,many,some,many,many,some,some,many,
8/20/2021-01,4.85,M,Many-First,some,some,some,some,some,some,some,some,some,some,skipped,skipped,skipped,skipped,some,some,some,some,some,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some,some skipped because child was bored
8/20/2021-02,4.01,F,Many-First,many,many,some,many,some,some,some,many,some,some,some,some,some,some,some,some,some,some,some,some,some,some,many,some,some,some,some,some,some,some,
8/21/2021-01,4.78,F,Many-First,some,some,some,some,some,skipped,skipped,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some,some,some,some,some,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,some skipped because child was bored
8/22/2021-01,5.86,F,Many-First,some,many,some,many,some,some,many,many,some,many,some,many,some,many,many,some,many,some,some,some,some,many,many,some,many,some,some,some,many,many,
8/22/2021-02,5.3,F,Many-First,some,many,some,many,some,some,some,many,some,many,some,some,some,many,many,some,some,some,some,some,some,some,many,some,some,some,some,some,some,many,
8/23/2021-01,4.95,F,Many-First,some,many,some,many,many,some,many,many,some,many,many,some,many,many,many,many,many,many,some,many,many,some,some,many,some,many,many,some,some,many,
8/24/2021-01,5.48,F,Many-First,some,many,some,many,some,some,some,many,some,many,some,many,some,other- a lot,other- a lot,some,many,some,many,some,some,some,many,some,many,some,many,some,many,many,
11/24/21-01,4.83,M,Many-First,some,many,some,many,some,some,some,many,some,many,some,some,some,some,many,some,many,some,some,some,some,some,many,some,many,some,some,some,some,many,
12/2/21-01,4.67,F,Many-First,some,many,some,many,many,some,many,many,some,many,some,many,some,many,many,some,many,some,many,some,some,many,many,some,many,some,many,some,many,many,
12/4/21-02,4.91,M,Many-First,some,many,some,many,some,some,some,many,some,many,some,many,some,some,many,some,many,some,some,some,some,some,many,some,many,some,many,some,some,many,
12/4/21-03,4.83,M,Many-First,many,some,many,some,many,some,many,some,many,some,some,many,some,many,some,many,some,many,some,many,some,many,some,many,many,many,some,many,some,many,
11/3/2022-01,,M,Many-First,some,many,some,many,some,many,many,many,some,many,some,many,some,many,some,some,many,some,many,some,many,some,many,some,some,many,many,some,many,some,
7/29/22-01,,M,Many-First,some,many,some,many,some,some,some,many,some,many,some,many,some,many,many,some,many,some,many,some,some,some,many,some,many,some,many,some,many,many,
